teamID,yearID,yr_spend_mil,cumulative_spend_mil
CIN,2006,60.91,774.04
CIN,2007,68.53,842.56
CIN,2008,74.12,916.68
CIN,2009,73.56,990.24
CIN,2010,71.76,1062.00
CIN,2011,75.95,1137.95
CIN,2012,82.20,1220.15
CIN,2013,106.40,1326.56
CIN,2014,108.22,1434.78
CLE,1985,6.55,6.55
CLE,1986,7.81,14.36
CLE,1987,8.51,22.87
CLE,1988,8.94,31.81
CLE,1989,9.09,40.91
CLE,1990,14.49,55.39
CLE,1991,17.64,73.03
CLE,1992,9.37,82.40
CLE,1993,18.56,100.96
CLE,1994,30.49,131.45
CLE,1995,37.94,169.39
CLE,1996,48.11,217.50
CLE,1997,56.80,274.30
CLE,1998,60.80,335.10
CLE,1999,72.98,408.08
CLE,2000,75.88,483.96
CLE,2001,93.15,577.11
CLE,2002,78.91,656.02
CLE,2003,48.58,704.61
CLE,2004,34.32,738.93
CLE,2005,41.50,780.43
CLE,2006,56.03,836.46
CLE,2007,61.67,898.13
CLE,2008,78.97,977.10
CLE,2009,81.58,1058.68
CLE,2010,61.20,1119.89
CLE,2011,48.78,1168.66
CLE,2012,78.43,1247.09
CLE,2013,75.77,1322.86
CLE,2014,82.15,1405.02
COL,1993,10.35,10.35
COL,1994,23.89,34.24
COL,1995,34.15,68.40
COL,1996,40.18,108.58
COL,1997,43.56,152.14
COL,1998,50.48,202.62
COL,1999,61.94,264.56
COL,2000,61.11,325.67
COL,2001,71.54,397.21
COL,2002,56.85,454.06
COL,2003,67.18,521.24
COL,2004,65.45,586.68
COL,2005,47.84,634.52
COL,2006,41.23,675.76
COL,2007,54.04,729.80
COL,2008,68.66,798.45
COL,2009,75.20,873.65
COL,2010,84.23,957.88
COL,2011,88.15,1046.03
COL,2012,78.07,1124.10
COL,2013,74.41,1198.51
COL,2014,95.40,1293.91
DET,1985,10.35,10.35
DET,1986,12.34,22.68
DET,1987,12.12,34.81
DET,1988,12.87,47.68
DET,1989,15.15,62.82
DET,1990,17.59,80.42
DET,1991,23.84,104.25
DET,1992,27.32,131.58
DET,1993,38.15,169.73
DET,1994,41.45,211.17
DET,1995,37.04,248.22
DET,1996,23.44,271.66
DET,1997,17.27,288.93
DET,1998,24.07,312.99
DET,1999,36.49,349.48
DET,2000,58.27,407.75
DET,2001,53.42,461.16
DET,2002,55.05,516.21
DET,2003,49.17,565.38
DET,2004,46.83,612.21
DET,2005,69.09,681.30
DET,2006,82.61,763.92
DET,2007,94.80,858.72
DET,2008,137.69,996.40
DET,2009,115.09,1111.49
DET,2010,122.86,1234.35
DET,2011,105.70,1340.05
DET,2012,132.30,1472.35
DET,2013,145.99,1618.34
DET,2014,152.86,1771.20
FLO,1993,19.33,19.33
FLO,1994,21.63,40.96
FLO,1995,24.52,65.48
FLO,1996,31.02,96.50
FLO,1997,48.69,145.19
FLO,1998,41.32,186.52
FLO,1999,21.09,207.60
FLO,2000,19.87,227.47
FLO,2001,35.76,263.24
FLO,2002,41.98,305.22
FLO,2003,49.45,354.67
FLO,2004,42.14,396.81
FLO,2005,60.41,457.22
FLO,2006,14.67,471.89
FLO,2007,30.51,502.40
FLO,2008,21.81,524.21
FLO,2009,36.83,561.04
FLO,2010,57.03,618.07
FLO,2011,56.94,675.02
HOU,1985,9.99,9.99
HOU,1986,9.87,19.87
HOU,1987,12.61,32.47
HOU,1988,12.29,44.76
HOU,1989,15.03,59.79
HOU,1990,18.33,78.12
HOU,1991,12.85,90.97
HOU,1992,15.41,106.38
HOU,1993,30.21,136.59
HOU,1994,33.13,169.72
HOU,1995,34.17,203.89
HOU,1996,28.49,232.37
HOU,1997,34.78,267.15
HOU,1998,42.37,309.53
HOU,1999,54.91,364.44
HOU,2000,51.29,415.73
HOU,2001,60.61,476.34
HOU,2002,63.45,539.79
HOU,2003,71.04,610.83
HOU,2004,75.40,686.23
HOU,2005,76.78,763.01
HOU,2006,88.69,851.70
HOU,2007,87.76,939.46
HOU,2008,88.93,1028.39
HOU,2009,103.00,1131.39
HOU,2010,92.36,1223.74
HOU,2011,70.69,1294.44
HOU,2012,60.65,1355.09
HOU,2013,17.89,1372.98
HOU,2014,35.12,1408.09
KCA,1985,9.32,9.32
KCA,1986,13.04,22.36
KCA,1987,11.83,34.19
KCA,1988,14.56,48.75
KCA,1989,18.68,67.43
KCA,1990,23.36,90.79
KCA,1991,26.32,117.11
KCA,1992,33.89,151.01
KCA,1993,41.35,192.35
KCA,1994,40.54,232.90
