nameGiven,age_last_game,career_length
"Bob Kelly",40,18
"Doyle Lafayette",39,18
"Larry Eugene",41,18
"Peter William",41,18
"Johnnie B.",37,18
Ernest,40,18
"Richard William",38,18
"Joseph V.",36,18
"Don Edward",39,18
"Jacob Peter",39,18
"John Alton",41,18
"Lawrence Peter",40,18
"Robert Raymond",42,18
"Roger Philip",36,18
"Raymond Bloom",37,18
"Louis Clark",40,18
"James Kevin",40,18
"Forrest Harrill",40,18
"John Robert",39,18
"Rodney Cline",40,18
"Gary Edmund",38,18
"Samuel Richard",38,18
"David Ismael",40,18
"Roger Maxwell",42,18
"Samuel Earl",37,18
"Joseph Edward",38,18
"Miguel Angel",40,18
"Charles Theodore",39,18
"Raul Javier",42,18
"Michael Ray",39,18
"Ferguson Arthur",40,18
"Sylvester W.",39,18
"Douglas Reid",43,18
"Joseph Ignatius",39,18
"Robert Daniel",37,18
"Ronald Lee",38,18
"Jerome Martin",42,18
Ralph,41,18
"Barry Louis",40,18
"Alois Terry",39,18
"Horace Milton",46,18
"Alfonso Ramon",39,18
Rudolph,39,18
"James Robert",43,18
"George Florian",39,18
"Frederick Stanley",40,18
"John Phalen",36,18
"Mark Tremell",40,18
"Kent Franklin",40,18
"John W.",41,18
"Fredie Hubert",38,18
"Claude Wilson",36,18
Rafael,40,18
"David Gene",40,18
"Lance Michael",39,18
"Andrew Eugene",41,18
"Ronald Lee",41,18
"Harold Henry",40,18
"Rickey Eugene",41,18
"John Ludy",42,18
"Jose Antonio",37,18
Mariano,43,18
"Robin Evan",39,18
"Charles Henry",42,18
"Edd J.",38,18
Benito,40,18
"Walter Henry",41,18
"Albert Fred",40,18
"John Richard",36,18
"John Scott",39,17
"Bobby Ray",37,17
"Michael Cole",39,17
"Gregory Richard",39,17
"William Beck",38,17
Albert,39,17
"Stephen Francis",37,17
"David Americo",38,17
"Arnold Malcolm",38,17
"Thomas Marian",40,17
"Leroy Robert",59,17
"Camilo Alberto",37,17
"Roger Thorpe",36,17
"Antonio Francesco",40,17
"Keith Anthony",40,17
"Valentine John",36,17
"Vada Edward",37,17
"Juan Roman",37,17
"Daniel Thomas",41,17
"Joseph J.",36,17
"James Patrick",37,17
"Manuel Aristides",38,17
"Willie Larry",38,17
"William Ellis",37,17
"James P.",40,17
"Bret William",37,17
"Scott Douglas",39,17
"Henry John",42,17
"Raymond William",37,17
Harry,37,17
"Truett Banks",42,17
"James Bentley",40,17
"Mervyn John",43,17
"Theodore Wade",39,17
"Moises Rojas",41,17
"Luis Ernesto",39,17
"Bradley David",41,17
"Mark Henry",38,17
"David Gus",37,17
"Jay Stuart",37,17
"David Bruce",39,17
"John Frederick",38,17
"Oswald Louis",38,17
"Vida Rochelle",37,17
"Wade Anthony",41,17
"Patrick Lance",42,17
"Douglas Keith",42,17
"Ellis Rena",40,17
"Jose Rosario Domec",37,17
Roberto,38,17
Bartolo,41,17
"Jeffrey Guy",41,17
Roger,39,17
"Thomas William",38,17
"Delmar Wesley",36,17
"Warren Livingston",37,17
Jose,40,17
"Victor Jose",44,17
"Eric Keith",39,17
"Mark William",36,17
"Virgil Lawrence",40,17
"Herman Thomas",37,17
"Jay Hanna",37,17
"Edwin Donald",38,17
"Richard Lee",38,17
"Ezra Ballou",38,17
Frederick,39,17
"Michael August",42,17
"Clayland Maffitt",42,17
"Virgil Oliver",41,17
"George Ernest",38,17
"Jose Luis",38,17
Frank,40,17
"Billy Leo",38,17
James,40,17
"Willie James",38,17
"Richard Charles",36,17
"Wilbur Forrester",36,17
"Edward Frederick",35,17
"Jonathan Thompson Walton",40,17
"Patrick Joseph",42,17
Hugh,39,17
"Shawon Donnell",39,17
"James Edward",40,17
"James Patrick",40,17
"Charles Andrew",38,17
"Roland Glen",39,17
"Fred Landis",41,17
"Michael Kendall",40,17
"Francis Isaiah",39,17
"George Arthur",37,17
"Woodrow Thompson",43,17
"James Francis",35,17
"Steven Patrick",38,17
"John Joseph",36,17
"Leon Allen",37,17
"Henry Benjamin",36,17
"Alfredo Claudino",36,17
"George Kenneth",41,17
"Granville Wilbur",35,17
"Michael William",38,17
"Colbert Dale",37,17
"Leonard Anthony",40,17
"Richard Joseph",37,17
"George Andrew",38,17
"William Rodman",41,17
"Arthur L.",41,17
"Trevor William",42,17
"William Wattison",37,17
Millard,38,17
"Torii Kedar",39,17
"Jason Derik",40,17
"Frederick Lawrence",41,17
"Grant Dwight",39,17
"Stanley Julian Antonio",37,17
Michael,37,17
"William Henry",38,17
"Joseph James",36,17
"John Calvin",39,17
"Paul Henry",38,17
"Edward Emil",34,17
"Vernon Sanders",37,17
"John Sherman",39,17
"Robert Lincoln",42,17
"Daniel Knowles",38,17
"August Rodney",39,17
"Mickey Charles",36,17
"John Albert",37,17
Edgar,41,17
"Pedro Jaime",37,17
"Walter Edward",36,17
"Albert Joseph",35,17
"Lee Andrew",39,17
"Robert Craig",41,17
"Willie Dean",40,17
"Donald John",44,17
"John Alexander",39,17
"Robert Lane",35,17
"John Robert",40,17
"Robert James",38,17
"John Francis",43,17
"Charles Devine",39,16
"Frederick Edward",45,16
"Andruw Rudolf",35,16
"David Jefferson",38,16
"William Frederick",39,16
"James W.",33,16
"George Lange",36,16
"Jeffrey Franklin",40,16
"Malachi Jeddidah",36,16
"Mark Steven",37,16
"Joseph Anthony",40,16
"Robert Granville",37,16
Kenneth,40,16
"Michael Stephen",39,16
"Ernesto Natali",39,16
"Derek Christopher",39,16
"Fredric Michael",38,16
Henry,38,16
"Henry Emmett",37,16
"Richard William",38,16
"Johnny Leonard Roosevelt",40,16
"Robert T.",35,16
Christopher,36,16
"Edwin Lee",36,16
"William Stanley",36,16
"Clyde Edward",39,16
Guillermo,34,16
"Brian Douglas",41,16
"Roy Edward",38,16
"Lee Arthur",39,16
"Carl Reginald",37,16
"Sherrod Malone",36,16
"Jack Thomas",40,16
"David Keith",38,16
"Darryl Eugene",37,16
"William Joseph",41,16
"William Joseph",36,16
"Jeffrey Scot",37,16
"Forest Gregory",37,16
"Jesse Niles",36,16
"George Robert",39,16
"Bobby Gene",38,16
"Joseph Paul",36,16
"Michael Augustine",37,16
"Harold Joseph",38,16
Fernando,36,16
"George Edward Martin",37,16
"Joseph Floyd",36,16
"Charles F.",37,16
"Larry Kenneth Robert",38,16
"Timothy Charles",39,16
"Dennis Martin",38,16
"John Montgomery",34,16
"James Laverne",38,16
"Robert Lynn",37,16
"Victor Woodrow",38,16
"Devon Markes",38,16
"Earl Oliver",40,16
"Matthew Derrick",37,16
"Allan Fulton",40,16
Wallace,41,16
"Ray Coleman",39,16
"Dale Bryan",37,16
"Glenn Calvin",39,16
"Charles Solomon",37,16
"Charles Augustus",36,16
"Otis Junior",40,16
"John Garrett",37,16
"Paul Andrew",38,16
"Amos Joseph",37,16
Andrew,38,16
"Milton Stephen",34,16
"Chan Ho",37,16
"Orlando Gregorio",41,16
"James Evan",39,16
"James Anthony",37,16
"Anthony John",37,16
"Lipman Emanuel",42,16
"Edward Stewart",41,16
"John Joseph",36,16
"Darrell Ray",35,16
"Jorge Rafael",40,16
"Thomas Albert",39,16
Aramis,36,16
"Jeffrey Scott",37,16
"Delbert W.",38,16
"David Allan",36,16
"William Henry",39,16
Wilbert,38,16
Aurelio,35,16
"Elwin Charles",38,16
"Scott Bruce",37,16
"Phillip Anthony",36,16
"Lynwood Thomas",39,16
Richard,40,16
"Raymond Michael",36,16
"Ryne Dee",38,16
"William Herman",42,16
"Michael Jack",39,16
"Scott David",37,16
"George W.",38,16
"Samuel James Tilden",34,16
"Joseph Wilbur",38,16
Roberto,36,16
"Jesus Maria Rojas",37,16
"Wilson Eduardo",35,16
"Leon Kessling",37,16
"Garret Joseph",38,16
"Stanley Raymond",37,16
"Robert Sherwood",35,16
Adrian,35,16
"Carlos Ivan",37,16
"Johnny Lee",35,16
"Juan Jose",38,16
Morris,37,16
"Henry Ramon",42,16
"James Alan",39,16
"William Joseph",37,16
"Walter George",34,16
"James Paul David",39,16
"Selva Lewis",40,16
"Thomas Henry",41,16
"John David",38,16
"Leslie Ambrose",35,16
"Brett Morgan",40,16
"Eldred William",39,16
"Miguel Jesus",38,16
"Michael Terrance",38,16
Jose,37,16
"Charles Carbitt",37,16
"Ricardo Adolfo Jacobo",40,16
"Norman Dalton",39,16
"Orlando Manuel",37,16
"Richard Aldo",38,16
"Carroll Christopher",39,16
"William Benjamin",37,16
"Jack Anthony",36,16
"Royce Spencer",37,16
"John J.",36,16
"David Brian",40,16
"William Walker",42,16
"Craig John",41,16
"Frank Peter Joseph",38,16
"Hazen Shirley",40,16
"Johnny David",38,16
"Eugene Abraham",39,16
"William Leopold",38,16
"Myron Walter",37,16
"Jacinto Damion",38,16
"James Michael",39,16
"Norman Arthur",39,16
"Alan Duane",39,16
William,37,16
"Elroy Leon",41,16
"Charles Edward",39,16
"Edward Charles",38,16
"James Louis",36,16
"James Elmer",39,16
"William Lawrence",38,16
Robert,39,16
"John Wesley",38,16
"Dwight Eugene",35,16
"Robert Anthony",37,16
"Jason Alan",38,16
"Gregory Eugene",37,16
"Robert Moses",41,16
"Edward Adrain",39,16
"Randall Pennington",34,16
"Jerry Wayne",37,16
"Eugene Franklin",38,16
"Todd Lynn",40,16
"Raymond Ernest",36,16
"Eisler Livan",37,16
"Roberto Manuel",42,16
"Orel Leonard",41,16
"Michael Franklin",37,16
"Harry Bartholomew",38,16
"Steven Roy",38,16
"Ryan Scott",36,15
"Mark Thomas",38,15
"William John",38,15
"Joseph Paul",36,15
"Joseph Gordon",37,15
"Michael Joseph",36,15
"Richard Edward",37,15
"Alphonso Erwin",36,15
"John Joseph",35,15
"Howard Jonathan",36,15
"Scott Gavin",38,15
"Andrew Auguste",34,15
"Walter Arthur",35,15
"Kyle Lynn",38,15
"Jeffrey Joseph",43,15
"Michael Lee",39,15
"James C.",35,15
"Louis Klopsche",36,15
"Elburt Preston",33,15
"Cornelius Clifford",36,15
"David W.",37,15
"Robert Herbert",39,15
"Kenneth Roth",39,15
"Terry Jay",34,15
"John Frank",38,15
"William Ashley",34,15
"John Frank",35,15
"Linus Reinhard",38,15
"Robert Bartmess",35,15
"August John",37,15
"Dennis Ward",37,15
"Oscar Charles",35,15
"Ronald Edwin",38,15
"Philip Mason",39,15
"Henry Louis",35,15
Walter,38,15
"Kirk Harold",38,15
"David John",37,15
"Christopher Cory",37,15
Alexander,37,15
"Juan Alberto",35,15
"William Dale",36,15
"Mark Eugene",39,15
"Marquis Deon",38,15
"Richard Morrow",36,15
"Henry Knight",38,15
"Stephen Joseph",37,15
"John Raymond",39,15
"Mark James",39,15
Vladimir,36,15
"Oswaldo Jose",36,15
"Lawrence Cyril",37,15
"Stanley Camfield",37,15
"Irving Darius",37,15
"Jerry Wayne",37,15
"Harry Leroy",36,15
"William Wilson",36,15
"Christopher Andrew",40,15
"David Andrew",36,15
"Brian David",35,15
"Derrel McKinley",36,15
"William Milton",38,15
"William Franklin",36,15
"Woodson George",37,15
"Kenneth Joseph",34,15
"William Jennings Bryan",38,15
"Jose Antonio",37,15
Keith,36,15
"Joseph William",44,15
"Frank Oliver",37,15
"Carl Owen",40,15
"Timothy Adam",39,15
"Steven Rance",36,15
"John Joseph",39,15
"Henry Harrison",36,15
"Joseph Michael",39,15
Harold,33,15
"Michael Kelvin",35,15
"Ronald James",37,15
"Kenneth Ray",36,15
"Charles Hugh",40,15
"Francis Joseph",37,15
"Jose Antonio",36,15
"Benjamin Ambrosio",37,15
"Edward Joseph",34,15
Steven,39,15
Jorge,36,15
"Nathaniel Frederick",37,15
"Michael Joseph",39,15
"Walter Clement",35,15
"Placido Enrique",37,15
"Howard Joseph",35,15
"John Wesley",36,15
"John Joseph",38,15
"Alvin Jacob",37,15
"Kenneth David",36,15
Pedro,35,15
"Richard Allen",39,15
"Michael John",40,15
"Edgar Enrique",35,15
"Richard Alan",36,15
"Stephen George",37,15
"Philip Francis",38,15
"William Edward",36,15
"William George",35,15
"Octavio Victor",38,15
"Jeron Kennis",35,15
"Joseph Oden",36,15
"Juan Milton",37,15
"Reginald Laverne",39,15
"Carl Ernest",35,15
