teamID,yearID,annual_spend_mill
COL,2012,78.0696
COL,2013,74.4091
COL,2014,95.4035
DET,1985,10.3481
DET,1986,12.3357
DET,1987,12.1229
DET,1988,12.8696
DET,1989,15.1464
DET,1990,17.5932
DET,1991,23.8383
DET,1992,27.3228
DET,1993,38.1502
DET,1994,41.4465
DET,1995,37.0442
DET,1996,23.4380
DET,1997,17.2720
DET,1998,24.0650
DET,1999,36.4897
DET,2000,58.2652
DET,2001,53.4162
DET,2002,55.0480
DET,2003,49.1680
DET,2004,46.8320
DET,2005,69.0920
DET,2006,82.6129
DET,2007,94.8004
DET,2008,137.6852
DET,2009,115.0851
DET,2010,122.8649
DET,2011,105.7002
DET,2012,132.3000
DET,2013,145.9895
DET,2014,152.8555
FLO,1993,19.3305
FLO,1994,21.6330
FLO,1995,24.5158
FLO,1996,31.0225
FLO,1997,48.6925
FLO,1998,41.3227
FLO,1999,21.0850
FLO,2000,19.8720
FLO,2001,35.7625
FLO,2002,41.9799
FLO,2003,49.4500
FLO,2004,42.1430
FLO,2005,60.4088
FLO,2006,14.6715
FLO,2007,30.5070
FLO,2008,21.8115
FLO,2009,36.8340
FLO,2010,57.0297
FLO,2011,56.9440
HOU,1985,9.9931
HOU,1986,9.8733
HOU,1987,12.6084
HOU,1988,12.2862
HOU,1989,15.0295
HOU,1990,18.3300
HOU,1991,12.8525
HOU,1992,15.4075
HOU,1993,30.2105
HOU,1994,33.1260
HOU,1995,34.1698
HOU,1996,28.4870
HOU,1997,34.7775
HOU,1998,42.3740
HOU,1999,54.9140
HOU,2000,51.2891
HOU,2001,60.6127
HOU,2002,63.4484
HOU,2003,71.0400
HOU,2004,75.3970
HOU,2005,76.7790
HOU,2006,88.6944
HOU,2007,87.7590
HOU,2008,88.9304
HOU,2009,102.9964
HOU,2010,92.3555
HOU,2011,70.6940
HOU,2012,60.6510
HOU,2013,17.8907
HOU,2014,35.1163
KCA,1985,9.3212
KCA,1986,13.0437
KCA,1987,11.8281
KCA,1988,14.5566
KCA,1989,18.6836
KCA,1990,23.3611
KCA,1991,26.3198
KCA,1992,33.8938
KCA,1993,41.3462
KCA,1994,40.5413
KCA,1995,29.5328
KCA,1996,20.2813
KCA,1997,34.6550
KCA,1998,36.8625
KCA,1999,26.2250
KCA,2000,23.4330
KCA,2001,35.4225
KCA,2002,47.2570
KCA,2003,40.5180
KCA,2004,47.6090
KCA,2005,36.8810
KCA,2006,47.2940
KCA,2007,67.1165
KCA,2008,58.2455
KCA,2009,70.5193
KCA,2010,71.4052
KCA,2011,35.7120
KCA,2012,60.9162
KCA,2013,80.0917
KCA,2014,74.5941
LAA,2005,94.8678
LAA,2006,103.4720
LAA,2007,109.2513
LAA,2008,119.2163
LAA,2009,113.7090
LAA,2010,104.9639
LAA,2011,138.5432
LAA,2012,154.4852
LAA,2013,124.1748
LAA,2014,121.9883
LAN,1985,10.9679
LAN,1986,14.9138
LAN,1987,13.6754
LAN,1988,16.8505
LAN,1989,21.0716
LAN,1990,21.3187
LAN,1991,32.7907
LAN,1992,44.7882
LAN,1993,39.3320
LAN,1994,38.0000
LAN,1995,39.2732
LAN,1996,35.3550
LAN,1997,45.3803
LAN,1998,48.8200
LAN,1999,80.8625
LAN,2000,87.9243
LAN,2001,109.1060
LAN,2002,94.8510
LAN,2003,105.5726
LAN,2004,92.9020
LAN,2005,83.0390
LAN,2006,98.4472
LAN,2007,108.4545
LAN,2008,118.5885
LAN,2009,100.4146
LAN,2010,95.3580
LAN,2011,104.1890
LAN,2012,95.1436
LAN,2013,223.3622
LAN,2014,217.0146
MIA,2012,118.0780
MIA,2013,33.6019
MIA,2014,41.8369
MIL,1998,33.9149
MIL,1999,43.3774
MIL,2000,36.5053
MIL,2001,43.8868
MIL,2002,50.2878
MIL,2003,40.6270
MIL,2004,27.5285
MIL,2005,39.9348
MIL,2006,57.5683
MIL,2007,70.9865
MIL,2008,80.9375
MIL,2009,80.1825
MIL,2010,81.1083
MIL,2011,85.4973
MIL,2012,97.6539
MIL,2013,76.9470
MIL,2014,101.2170
MIN,1985,5.7648
MIN,1986,8.7482
MIN,1987,6.3975
MIN,1988,12.4627
MIN,1989,15.5317
MIN,1990,14.6020
MIN,1991,23.3618
MIN,1992,28.0278
MIN,1993,28.2179
MIN,1994,28.4385
MIN,1995,25.4105
MIN,1996,23.1170
MIN,1997,34.0725
MIN,1998,27.9275
MIN,1999,21.2575
MIN,2000,16.5195
MIN,2001,24.1300
MIN,2002,40.4250
MIN,2003,55.5050
MIN,2004,53.5850
MIN,2005,56.1860
MIN,2006,63.3960
MIN,2007,71.4395
MIN,2008,56.9328
MIN,2009,65.2993
MIN,2010,97.5592
MIN,2011,112.7370
MIN,2012,94.0850
MIN,2013,75.3375
MIN,2014,83.7625
ML4,1985,11.2841
ML4,1986,9.9436
ML4,1987,7.2932
ML4,1988,8.4020
ML4,1989,11.5330
ML4,1990,19.7192
ML4,1991,23.1155
ML4,1992,31.0137
ML4,1993,23.8068
ML4,1994,24.3505
ML4,1995,17.7988
ML4,1996,21.7300
ML4,1997,23.6553
MON,1985,9.4702
MON,1986,11.1036
MON,1987,6.9421
MON,1988,9.6033
MON,1989,13.8074
MON,1990,16.5864
MON,1991,10.7323
MON,1992,15.8223
MON,1993,18.8993
MON,1994,19.0980
MON,1995,12.3640
MON,1996,16.2645
MON,1997,19.2955
MON,1998,10.6415
MON,1999,17.9030
MON,2000,32.9943
MON,2001,35.1595
